,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
262,2023,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.975
263,2022,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.084
264,2021,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.996
265,2020,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.217
266,2019,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.524
267,2018,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.286
268,2017,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.149
269,2016,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.876
270,2015,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.14
271,2014,Peru,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.851
272,2023,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.521
273,2022,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.562
274,2021,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.854
275,2020,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.522
276,2019,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.946
277,2018,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.859
278,2017,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.025
279,2016,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.421
280,2015,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.718
281,2014,PRY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.817
282,2023,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.833
283,2022,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.791
284,2021,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.147
285,2020,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.879
286,2019,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.022
287,2018,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.193
